X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-95.3684,29.75849,189,189,402,TARGA RESOURCES,1000 LOUISIANA STREET,SUITE 4300,HOUSTON,TX,77002,HARRIS,1970,6691,29.75849,-95.3684,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.TARGARESOURCES.COM/,-187.3
-95.36391,29.75579,190,190,201,WASTE MANAGEMENT,1001 FANNIN STREET,NOT AVAILABLE,HOUSTON,TX,77002,HARRIS,41200,13609,29.75579,-95.36391,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.WM.COM/US,1182
-95.3959,29.76129,191,191,285,BAKER HUGHES,2929 ALLEN PARKWAY,NOT AVAILABLE,HOUSTON,TX,77019,HARRIS,33000,9841,29.76129,-95.3959,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.BAKERHUGHES.COM/,-2738
-95.54393,29.77744,192,192,261,GROUP 1 AUTOMOTIVE,800 GESSNER ROAD,NOT AVAILABLE,HOUSTON,TX,77024,HARRIS,13500,10888,29.77744,-95.54393,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.GROUP1AUTO.COM/,147.1
-95.34107,29.9364,193,193,173,HALLIBURTON,3000 NORTH SAM HOUSTON PARKWAY EAST,NOT AVAILABLE,HOUSTON,TX,77032,HARRIS,50000,15887,29.9364,-95.34107,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.HALLIBURTON.COM/EN-US/DEFAULT.PAGE,-5763
-95.5543,29.69082,194,194,375,NATIONAL OILWELL VARCO,7909 PARKWOOD CIRCLE DRIVE,NOT AVAILABLE,HOUSTON,TX,77036,HARRIS,36384,7251,29.69082,-95.5543,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.NOV.COM/,-2412
-95.560908,29.740913,195,195,34,PHILLIPS 66,2331 CITYWEST BOULEVARD,NOT AVAILABLE,HOUSTON,TX,77042,HARRIS,14800,72396,29.740913,-95.560908,MANUAL,ON-ENTITY,48201,NOT AVAILABLE,HTTP://WWW.PHILLIPS66.COM/,1555
-95.46266,29.74464,196,196,488,APACHE,2000 POST OAK BOULEVARD,NOT AVAILABLE,HOUSTON,TX,77056,HARRIS,3727,5354,29.74464,-95.46266,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.APACHECORP.COM/,-1405
-95.46125,29.73599,197,197,355,QUANTA SERVICES,2800 POST OAK BOULEVARD,SUITE 2600,HOUSTON,TX,77056,HARRIS,28100,7651,29.73599,-95.46125,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.QUANTASERVICES.COM/,198.4
-95.62004,29.75826,198,198,57,SYSCO,1390 ENCLAVE PARKWAY,NOT AVAILABLE,HOUSTON,TX,77077,HARRIS,51900,50367,29.75826,-95.62004,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.SYSCO.COM/,949.6
-95.61758,29.78758,199,199,115,CONOCOPHILLIPS,600 NORTH DAIRY ASHFORD STREET,NOT AVAILABLE,HOUSTON,TX,77079,HARRIS,13300,24360,29.78758,-95.61758,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.CONOCOPHILLIPS.COM/,-3615
-72.73874,41.81703,200,200,70,CIGNA,900 COTTAGE GROVE ROAD,NOT AVAILABLE,BLOOMFIELD,CT,06002,HARTFORD,41000,39668,41.81703,-72.73874,BING MAPS,ADDRESS,09003,NOT AVAILABLE,HTTPS://WWW.CIGNA.COM/,1867
-72.80698,41.69301,201,201,250,STANLEY BLACK & DECKER,1000 STANLEY DRIVE,NOT AVAILABLE,NEW BRITAIN,CT,06053,HARTFORD,54023,11407,41.69301,-72.80698,BING MAPS,ADDRESS,09003,NOT AVAILABLE,HTTP://WWW.STANLEYBLACKANDDECKER.COM/,965.3
-72.803224,41.708447,202,202,50,UNITED TECHNOLOGIES,10 FARM SPRINGS ROAD,NOT AVAILABLE,FARMINGTON,CT,06032,HARTFORD,201600,57244,41.708447,-72.803224,MANUAL,ON-ENTITY,09003,NOT AVAILABLE,HTTP://WWW.UTC.COM/PAGES/HOME.ASPX,5055
-72.68879,41.77241,203,203,153,HARTFORD FINANCIAL SERVICES GROUP,1 HARTFORD PLAZA,NOT AVAILABLE,HARTFORD,CT,06155,HARTFORD,16900,18300,41.77241,-72.68879,BING MAPS,ADDRESS,09003,NOT AVAILABLE,HTTPS://WWW.THEHARTFORD.COM/BUSINESS-INSURANCE/FINANCIAL-SERVICES,896
-72.69221,41.76776,204,204,43,AETNA,151 FARMINGTON AVENUE,NOT AVAILABLE,HARTFORD,CT,06156,HARTFORD,49500,63155,41.76776,-72.69221,BING MAPS,ADDRESS,09003,NOT AVAILABLE,HTTPS://WWW.AETNA.COM/,2271
-93.40318,44.89756,205,205,6,UNITEDHEALTH GROUP,9900 BREN ROAD EAST,NOT AVAILABLE,MINNETONKA,MN,55343,HENNEPIN,230000,184840,44.89756,-93.40318,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTP://WWW.UNITEDHEALTHGROUP.COM/,7017
-93.41186,44.875,206,206,158,SUPERVALU,7075 FLYING CLOUD DRIVE,NOT AVAILABLE,EDEN PRAIRIE,MN,55344,HENNEPIN,38000,17529,44.875,-93.41186,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.SUPERVALU.COM/,178
-93.46055,44.82112,207,207,212,C.H. ROBINSON WORLDWIDE,14701 CHARLSON ROAD,NOT AVAILABLE,EDEN PRAIRIE,MN,55347,HENNEPIN,14125,13144,44.82112,-93.46055,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.CHROBINSON.COM/EN-US/,513.4
